Temperature(F),Dew Point(F),Humidity(%),Wind Speed(mph),Pressure(in),Value
88.50333333,76.54,62.76,3.834166667,29.27,32.079075
88.86,76.66,61.4,4,29.23,31.7514625
88.88916667,76.66,62.03,4.753333333,29.32,31.91526875
88.91833333,76.66,62.67,5.506666667,29.4,31.83336562
88.9475,76.66,63.3,6.26,29.49,31.87431719
88.97666667,76.66,63.93,7.013333333,29.57,31.85384141
89.00583333,76.66,64.57,7.766666667,29.66,31.8640793
89.035,76.66,65.2,8.52,29.74,31.85896035
89.06416667,76.67,65.83,9.273333333,29.83,31.86151982
89.09333333,76.67,66.47,10.02666667,29.92,31.86024009
89.1225,76.67,67.1,10.78,30,31.86087996
89.15166667,76.67,67.73,11.53333333,30.09,31.86056002
89.18083333,76.67,68.37,12.28666667,30.17,31.86071999
89.21,76.67,69,13.04,30.26,31.86064001
89.30166667,76.7,68.92,12.8675,30.21,31.86068
89.39333333,76.72,68.84,12.695,30.16,31.86066
89.485,76.74,68.76,12.5225,30.1,31.86067
89.57666667,76.77,68.68,12.35,30.05,31.860665
89.66833333,76.8,68.6,12.1775,30,31.8606675
89.76,76.82,68.52,12.005,29.95,31.86066625
89.85166667,76.84,68.44,11.8325,29.9,31.86066687
89.94333333,76.87,68.36,11.66,29.85,31.86066656
90.035,76.9,68.28,11.4875,29.8,31.86066672
90.12666667,76.92,68.2,11.315,29.74,31.86066664
90.21833333,76.94,68.12,11.1425,29.69,31.86066668
90.31,76.97,68.04,10.97,29.64,31.86066666
89.82583333,76.77,68.51,10.81,29.61,31.86066667
89.34166667,76.57,68.98,10.65,29.58,31.86066667
88.8575,76.37,69.45,10.49,29.56,30.7552
88.37333333,76.17,69.92,10.33,29.53,26.2088
87.88916667,75.97,70.39,10.17,29.5,19.8973
87.405,75.76,70.86,10.01,29.47,17.7578
86.92083333,75.56,71.32,9.85,29.44,15.4044
86.43666667,75.36,71.79,9.69,29.41,14.709
85.9525,75.16,72.26,9.53,29.38,12.9439
85.46833333,74.96,72.73,9.37,29.36,13.3184
84.98416667,74.76,73.2,9.21,29.33,13.4253
84.5,74.56,73.67,9.05,29.3,13.1044
84.33166667,74.81,74.1,8.890833333,29.32,13.2114
84.16333333,75.07,74.53,8.731666667,29.33,12.5695
83.995,75.32,74.96,8.5725,29.35,12.4626
83.82666667,75.58,75.4,8.413333333,29.36,12.516
83.65833333,75.83,75.83,8.254166667,29.38,12.8905
83.49,76.09,76.26,8.095,29.4,13.3184
83.32166667,76.34,76.69,7.935833333,29.41,13.5858
83.15333333,76.59,77.12,7.776666667,29.43,13.6393
82.985,76.85,77.55,7.6175,29.44,14.0137
82.81666667,77.1,77.99,7.458333333,29.46,14.2276
82.64833333,77.36,78.42,7.299166667,29.47,13.3718
82.48,77.61,78.85,7.14,29.49,12.9439
82.47,77.51,78.99,6.876666667,29.46,13.3184
82.46,77.41,79.12,6.613333333,29.43,13.2114
82.45,77.31,79.26,6.35,29.4,12.9974
82.44,77.21,79.39,6.086666667,29.38,13.2649
82.43,77.11,79.53,5.823333333,29.35,13.1579
82.42,77.01,79.66,5.56,29.32,13.3184
82.41,76.91,79.8,5.296666667,29.29,13.2649
82.4,76.81,79.94,5.033333333,29.26,13.4253
82.39,76.71,80.07,4.77,29.24,13.1044
82.38,76.61,80.21,4.506666667,29.21,12.837
82.37,76.51,80.34,4.243333333,29.18,12.5695
82.36,76.41,80.48,3.98,29.15,12.0881
82.12583333,76.58,81.37,3.815833333,29.17,12.3556
81.89166667,76.74,82.27,3.651666667,29.2,12.1951
81.6575,76.91,83.16,3.4875,29.22,12.1951
81.42333333,77.08,84.05,3.323333333,29.24,12.1416
81.18916667,77.25,84.95,3.159166667,29.26,12.0881
80.955,77.41,85.84,2.995,29.28,12.4091
80.72083333,77.58,86.73,2.830833333,29.31,11.9812
80.48666667,77.75,87.63,2.666666667,29.33,11.8207
80.2525,77.92,88.52,2.5025,29.35,11.6603
80.01833333,78.09,89.41,2.338333333,29.38,11.7137
79.78416667,78.25,90.31,2.174166667,29.4,11.4998
79.55,78.42,91.2,2.01,29.42,11.9277
80.0425,78.36,90.25,2.010833333,29.45,11.6068
80.535,78.31,89.3,2.011666667,29.48,11.4998
81.0275,78.25,88.35,2.0125,29.52,11.3928
81.52,78.19,87.4,2.013333333,29.55,11.0719
82.0125,78.13,86.45,2.014166667,29.58,10.537
82.505,78.08,85.5,2.015,29.62,10.2696
82.9975,78.02,84.56,2.015833333,29.65,10.0556
83.49,77.96,83.61,2.016666667,29.68,10.1626
83.9825,77.9,82.66,2.0175,29.71,10.9114
84.475,77.84,81.71,2.018333333,29.74,10.4835
84.9675,77.79,80.76,2.019166667,29.78,11.7672
85.46,77.73,79.81,2.02,29.81,11.2324
85.7075,77.4,78.29,2.189166667,29.83,12.73
85.955,77.07,76.76,2.358333333,29.85,16.0997
86.2025,76.74,75.24,2.5275,29.86,20.2182
86.45,76.41,73.72,2.696666667,29.88,21.7694
86.6975,76.08,72.19,2.865833333,29.9,25.46
86.945,75.74,70.67,3.035,29.92,27.546
87.1925,75.41,69.15,3.204166667,29.94,28.8297
87.44,75.08,67.62,3.373333333,29.96,30.5948
87.6875,74.75,66.1,3.5425,29.98,32.0389
87.935,74.42,64.58,3.711666667,29.99,32.6273
88.1825,74.09,63.05,3.880833333,30.01,32.3331
88.43,73.76,61.53,4.05,30.03,32.4802
88.81,73.93,61.22,4.620833333,30.02,32.40665
89.19,74.09,60.91,5.191666667,30,32.443425
89.57,74.26,60.6,5.7625,29.99,32.4250375
89.95,74.42,60.28,6.333333333,29.98,32.43423125
90.33,74.59,59.97,6.904166667,29.96,32.42963438
90.71,74.76,59.66,7.475,29.95,32.43193281
91.09,74.92,59.35,8.045833333,29.94,32.43078359
91.47,75.09,59.04,8.616666667,29.92,32.4313582
91.85,75.25,58.72,9.1875,29.91,32.4310709
92.23,75.42,58.41,9.758333333,29.9,32.43121455
92.61,75.58,58.1,10.32916667,29.88,32.43114272
92.99,75.75,57.79,10.9,29.87,32.43117864
92.82833333,75.62,57.76,10.9075,29.85,32.43116068
92.66666667,75.49,57.74,10.915,29.83,32.43116966
92.505,75.36,57.71,10.9225,29.8,32.43116517
92.34333333,75.23,57.68,10.93,29.78,32.43116741
92.18166667,75.1,57.66,10.9375,29.76,32.43116629
92.02,74.97,57.63,10.945,29.74,32.43116685
91.85833333,74.85,57.6,10.9525,29.72,32.43116657
91.69666667,74.72,57.58,10.96,29.7,32.8947
91.535,74.59,57.55,10.9675,29.68,32.7343
91.37333333,74.46,57.52,10.975,29.65,32.2529
91.21166667,74.33,57.5,10.9825,29.63,32.1994
91.05,74.2,57.47,10.99,29.61,31.0762
90.59833333,74.24,58.32,10.24,29.6,30.3273
90.14666667,74.27,59.16,9.49,29.58,27.3321
89.695,74.31,60.01,8.74,29.57,22.8391
89.24333333,74.35,60.86,7.99,29.55,20.0043
88.79166667,74.38,61.7,7.24,29.54,17.5439
88.34,74.42,62.55,6.49,29.52,15.6183
87.88833333,74.46,63.4,5.74,29.51,13.7463
87.43666667,74.49,64.24,4.99,29.5,12.73
86.985,74.53,65.09,4.24,29.48,11.9277
86.53333333,74.57,65.94,3.49,29.47,11.8742
86.08166667,74.6,66.78,2.74,29.45,12.3556
85.63,74.64,67.63,1.99,29.44,12.837
85.4025,74.75,68.26,2.410833333,29.49,13.4253
85.175,74.86,68.88,2.831666667,29.53,13.3184
84.9475,74.96,69.51,3.2525,29.58,13.5323
84.72,75.07,70.13,3.673333333,29.62,13.3184
84.4925,75.18,70.76,4.094166667,29.67,13.8532
84.265,75.29,71.38,4.515,29.72,13.5858
84.0375,75.4,72.01,4.935833333,29.76,14.0137
83.81,75.51,72.64,5.356666667,29.81,13.9067
83.5825,75.61,73.26,5.7775,29.85,14.2276
83.355,75.72,73.89,6.198333333,29.9,14.0137
83.1275,75.83,74.51,6.619166667,29.94,13.9602
82.9,75.94,75.14,7.04,29.99,13.7997
82.78916667,76.1,75.58,7.0475,30.01,13.6928
82.67833333,76.26,76.03,7.055,30.03,13.6928
82.5675,76.42,76.47,7.0625,30.05,13.3718
82.45666667,76.58,76.91,7.07,30.07,13.5323
82.34583333,76.74,77.36,7.0775,30.09,13.6393
82.235,76.9,77.8,7.085,30.12,13.2649
82.12416667,77.05,78.24,7.0925,30.14,12.8905
82.01333333,77.21,78.69,7.1,30.16,13.1044
81.9025,77.37,79.13,7.1075,30.18,12.8905
81.79166667,77.53,79.57,7.115,30.2,12.837
81.68083333,77.69,80.02,7.1225,30.22,12.623
81.57,77.85,80.46,7.13,30.24,12.73
81.59416667,77.95,80.95,6.703333333,30.18,12.5695
81.61833333,78.04,81.44,6.276666667,30.13,12.73
81.6425,78.14,81.93,5.85,30.07,12.3021
81.66666667,78.24,82.42,5.423333333,30.02,12.3556
81.69083333,78.34,82.91,4.996666667,29.96,12.0347
81.715,78.44,83.4,4.57,29.9,12.1416
81.73916667,78.53,83.9,4.143333333,29.85,11.6603
81.76333333,78.63,84.39,3.716666667,29.79,11.7137
81.7875,78.73,84.88,3.29,29.74,12.0347
81.81166667,78.82,85.37,2.863333333,29.68,11.9812
81.83583333,78.92,85.86,2.436666667,29.63,11.9277
81.86,79.02,86.35,2.01,29.57,11.7672
81.90916667,79.08,86.03,2.0075,29.62,12.1416
81.95833333,79.14,85.72,2.005,29.68,11.6603
82.0075,79.2,85.4,2.0025,29.73,11.8207
82.05666667,79.27,85.08,2,29.78,11.5533
82.10583333,79.33,84.77,1.9975,29.83,10.9649
82.155,79.39,84.45,1.995,29.88,10.751
82.20416667,79.45,84.13,1.9925,29.94,11.3928
82.25333333,79.51,83.82,1.99,29.99,11.8742
82.3025,79.58,83.5,1.9875,30.04,11.4463
82.35166667,79.64,83.18,1.985,30.1,12.1416
82.40083333,79.7,82.87,1.9825,30.15,11.7137
82.45,79.76,82.55,1.98,30.2,11.8742
82.9175,79.81,81.74,2.570833333,30.14,12.1416
83.385,79.87,80.92,3.161666667,30.09,13.8532
83.8525,79.92,80.11,3.7525,30.03,16.2067
84.32,79.98,79.3,4.343333333,29.98,17.5974
84.7875,80.03,78.48,4.934166667,29.92,20.0043
85.255,80.09,77.67,5.525,29.86,20.4322
85.7225,80.14,76.86,6.115833333,29.81,21.7694
86.19,80.19,76.04,6.706666667,29.75,22.7321
86.6575,80.25,75.23,7.2975,29.7,22.5717
87.125,80.3,74.42,7.888333333,29.64,24.0693
87.5925,80.36,73.6,8.479166667,29.59,25.6205
88.06,80.41,72.79,9.07,29.53,23.9089
88.6825,79.93,71.25,9.218333333,29.54,25.0321
89.305,79.46,69.72,9.366666667,29.55,27.546
89.9275,78.98,68.18,9.515,29.56,28.5623
90.55,78.5,66.65,9.663333333,29.57,27.9739
91.1725,78.03,65.11,9.811666667,29.58,27.0111
91.795,77.55,63.58,9.96,29.58,24.8716
92.4175,77.07,62.04,10.10833333,29.59,26.1553
93.04,76.6,60.5,10.25666667,29.6,26.1018
93.6625,76.12,58.97,10.405,29.61,26.7972
94.285,75.64,57.43,10.55333333,29.62,27.7065
94.9075,75.17,55.9,10.70166667,29.63,28.2413
95.53,74.69,54.36,10.85,29.64,27.9739
95.18166667,75.18,55.18,10.85416667,29.59,27.439
94.83333333,75.67,56.01,10.85833333,29.54,28.1344
94.485,76.16,56.84,10.8625,29.48,28.4553
94.13666667,76.65,57.66,10.86666667,29.43,29.0437
93.78833333,77.14,58.48,10.87083333,29.38,27.9739
93.44,77.63,59.31,10.875,29.33,26.7437
93.09166667,78.12,60.14,10.87916667,29.28,26.5832
92.74333333,78.61,60.96,10.88333333,29.23,26.0484
92.395,79.1,61.78,10.8875,29.18,24.8716
92.04666667,79.59,62.61,10.89166667,29.12,24.5507
91.69833333,80.08,63.44,10.89583333,29.07,24.1228
91.35,80.57,64.26,10.9,29.02,24.2298
91.00083333,80.24,65.03,10.3275,29.11,24.1763
90.65166667,79.92,65.81,9.755,29.2,24.1763
90.3025,79.6,66.58,9.1825,29.3,24.0158
89.95333333,79.27,67.36,8.61,29.39,22.7321
89.60416667,78.94,68.13,8.0375,29.48,19.6299
89.255,78.62,68.9,7.465,29.58,17.5439
88.90583333,78.3,69.68,6.8925,29.67,16.0462
88.55666667,77.97,70.45,6.32,29.76,15.03
88.2075,77.64,71.23,5.7475,29.85,14.2276
87.85833333,77.32,72,5.175,29.94,13.6928
87.50916667,77,72.78,4.6025,30.04,13.7463
87.16,76.67,73.55,4.03,30.13,13.6393
87.0075,76.59,73.94,3.859166667,30.07,13.6928
86.855,76.5,74.33,3.688333333,30.01,12.9974
86.7025,76.42,74.72,3.5175,29.96,13.2114
86.55,76.34,75.11,3.346666667,29.9,12.8905
86.3975,76.25,75.5,3.175833333,29.84,13.9067
86.245,76.17,75.9,3.005,29.78,14.2276
86.0925,76.09,76.29,2.834166667,29.72,14.0672
85.94,76,76.68,2.663333333,29.66,14.6555
85.7875,75.92,77.07,2.4925,29.6,14.7625
85.635,75.84,77.46,2.321666667,29.55,15.03
85.4825,75.75,77.85,2.150833333,29.49,14.4951
85.33,75.67,78.24,1.98,29.43,14.6555
85.17833333,75.96,78.66,2.154166667,29.48,15.1369
85.02666667,76.26,79.07,2.328333333,29.54,14.4951
84.875,76.56,79.49,2.5025,29.6,13.4253
84.72333333,76.85,79.91,2.676666667,29.65,13.1044
84.57166667,77.14,80.32,2.850833333,29.7,13.2649
84.42,77.44,80.74,3.025,29.76,13.5858
84.26833333,77.74,81.16,3.199166667,29.82,14.0137
84.11666667,78.03,81.57,3.373333333,29.87,13.3718
83.965,78.32,81.99,3.5475,29.92,13.2649
83.81333333,78.62,82.41,3.721666667,29.98,13.3718
83.66166667,78.91,82.82,3.895833333,30.04,13.1579
83.51,79.21,83.24,4.07,30.09,12.8905
83.44416667,79.2,83.51,4.065833333,30.09,12.9974
83.37833333,79.18,83.77,4.061666667,30.08,12.623
83.3125,79.17,84.04,4.0575,30.08,12.837
83.24666667,79.16,84.31,4.053333333,30.07,12.4091
83.18083333,79.14,84.57,4.049166667,30.07,12.4626
83.115,79.13,84.84,4.045,30.06,12.4626
83.04916667,79.12,85.11,4.040833333,30.06,12.4091
82.98333333,79.1,85.37,4.036666667,30.06,12.3021
82.9175,79.09,85.64,4.0325,30.05,12.3021
82.85166667,79.08,85.91,4.028333333,30.05,12.1951
82.78583333,79.06,86.17,4.024166667,30.04,11.9812
82.72,79.05,86.44,4.02,30.04,11.8742
82.80166667,79.13,86.25,4.023333333,30.03,11.8742
82.88333333,79.21,86.05,4.026666667,30.01,11.8207
82.965,79.29,85.86,4.03,30,11.7672
83.04666667,79.37,85.66,4.033333333,29.99,11.6603
83.12833333,79.45,85.47,4.036666667,29.97,11.5533
83.21,79.54,85.28,4.04,29.96,10.43
83.29166667,79.62,85.08,4.043333333,29.95,10.2696
83.37333333,79.7,84.89,4.046666667,29.93,10.6975
83.455,79.78,84.69,4.05,29.92,10.5905
83.53666667,79.86,84.5,4.053333333,29.91,10.6975
83.61833333,79.94,84.3,4.056666667,29.89,12.1416
83.7,80.02,84.11,4.06,29.88,12.516
84.36583333,79.94,82.69,4.65,29.82,13.2114
85.03166667,79.85,81.28,5.24,29.75,19.7903
85.6975,79.77,79.86,5.83,29.68,24.3902
86.36333333,79.69,78.44,6.42,29.62,26.7972
87.02916667,79.61,77.02,7.01,29.56,28.7227
87.695,79.53,75.6,7.6,29.49,32.3064
88.36083333,79.44,74.19,8.19,29.42,30.51455
89.02666667,79.36,72.77,8.78,29.36,31.410475
89.6925,79.28,71.35,9.37,29.3,30.9625125
90.35833333,79.19,69.94,9.96,29.23,31.18649375
91.02416667,79.11,68.52,10.55,29.17,31.07450313
91.69,79.03,67.1,11.14,29.1,31.13049844
91.875,79.33,66.78,11.31166667,29.11,31.10250078
92.06,79.62,66.45,11.48333333,29.12,31.11649961
92.245,79.92,66.13,11.655,29.14,31.1095002
92.43,80.21,65.8,11.82666667,29.15,31.1129999
92.615,80.51,65.48,11.99833333,29.16,31.11125005
92.8,80.81,65.16,12.17,29.17,31.11212498
92.985,81.1,64.83,12.34166667,29.18,31.11168751
93.17,81.4,64.51,12.51333333,29.19,31.11190624
93.355,81.69,64.18,12.685,29.2,31.11179688
93.54,81.99,63.86,12.85666667,29.22,31.11185156
93.725,82.28,63.53,13.02833333,29.23,31.11182422
93.91,82.58,63.21,13.2,29.24,31.11183789
94.1125,82.09,62.66,13.02,29.22,31.11183105
94.315,81.6,62.12,12.84,29.2,31.11183447
94.5175,81.11,61.57,12.66,29.18,31.11183276
94.72,80.62,61.02,12.48,29.16,31.11183362
94.9225,80.13,60.48,12.3,29.14,31.11183319
95.125,79.63,59.93,12.12,29.12,31.1118334
95.3275,79.14,59.38,11.94,29.1,31.1118333
95.53,78.65,58.84,11.76,29.08,31.11183335
95.7325,78.16,58.29,11.58,29.06,31.11183332
95.935,77.67,57.74,11.4,29.04,31.11183334
96.1375,77.18,57.2,11.22,29.02,31.11183333
96.34,76.69,56.65,11.04,29,31.11183333
95.505,76.7,57.93,10.45833333,29.08,31.11183333
94.67,76.72,59.21,9.876666667,29.15,31.11183333
93.835,76.74,60.49,9.295,29.23,31.11183333
93,76.75,61.77,8.713333333,29.31,30.3808
92.165,76.76,63.05,8.131666667,29.38,25.567
91.33,76.78,64.32,7.55,29.46,22.4112
90.495,76.8,65.6,6.968333333,29.54,18.6136
89.66,76.81,66.88,6.386666667,29.61,16.5811
88.825,76.82,68.16,5.805,29.69,16.2602
87.99,76.84,69.44,5.223333333,29.77,15.5113
87.155,76.86,70.72,4.641666667,29.84,15.1369
86.32,76.87,72,4.06,29.92,14.7625
86.4075,77.02,72.27,4.295,29.83,14.7625
86.495,77.17,72.54,4.53,29.75,14.8695
86.5825,77.32,72.81,4.765,29.66,15.0834
86.67,77.47,73.08,5,29.57,14.9765
86.7575,77.62,73.35,5.235,29.49,14.8695
86.845,77.78,73.62,5.47,29.4,14.9765
86.9325,77.93,73.88,5.705,29.31,14.5486
87.02,78.08,74.15,5.94,29.23,14.816
87.1075,78.23,74.42,6.175,29.14,14.7625
87.195,78.38,74.69,6.41,29.05,13.9067
87.2825,78.53,74.96,6.645,28.97,13.6393
87.37,78.68,75.23,6.88,28.88,13.7463
87.16,78.67,75.53,6.474166667,28.92,13.6928
86.95,78.66,75.82,6.068333333,28.96,13.6393
86.74,78.65,76.12,5.6625,29.01,13.7463
86.53,78.64,76.41,5.256666667,29.05,13.6393
86.32,78.63,76.71,4.850833333,29.09,13.9602
86.11,78.62,77,4.445,29.14,14.3881
85.9,78.62,77.3,4.039166667,29.18,14.6021
85.69,78.61,77.6,3.633333333,29.22,14.4416
85.48,78.6,77.89,3.2275,29.26,14.0137
85.27,78.59,78.19,2.821666667,29.3,14.0137
85.06,78.58,78.48,2.415833333,29.35,14.1207
84.85,78.57,78.78,2.01,29.39,14.2276
84.83666667,78.56,79.25,2.01,29.38,14.2276
84.82333333,78.56,79.72,2.01,29.36,14.0672
84.81,78.55,80.19,2.01,29.35,14.0672
84.79666667,78.55,80.66,2.01,29.34,14.0137
84.78333333,78.54,81.13,2.01,29.32,14.0137
84.77,78.54,81.6,2.01,29.31,13.7463
84.75666667,78.53,82.06,2.01,29.3,13.7997
84.74333333,78.52,82.53,2.01,29.28,13.6928
84.73,78.52,83,2.01,29.27,13.4788
84.71666667,78.51,83.47,2.01,29.26,13.5323
84.70333333,78.51,83.94,2.01,29.24,13.4788
84.69,78.5,84.41,2.01,29.23,13.3718
84.85083333,78.73,84.16,2.419166667,29.27,13.4788
85.01166667,78.95,83.92,2.828333333,29.3,14.0137
85.1725,79.18,83.68,3.2375,29.34,13.9067
85.33333333,79.41,83.43,3.646666667,29.38,13.1044
85.49416667,79.63,83.18,4.055833333,29.41,12.4626
85.655,79.86,82.94,4.465,29.45,11.9277
85.81583333,80.09,82.7,4.874166667,29.49,12.9439
85.97666667,80.31,82.45,5.283333333,29.52,13.6928
86.1375,80.54,82.2,5.6925,29.56,13.2114
86.29833333,80.77,81.96,6.101666667,29.6,13.5858
86.45916667,80.99,81.72,6.510833333,29.63,13.8532
86.62,81.22,81.47,6.92,29.67,14.1207
87.01583333,81.24,80.08,6.926666667,29.66,15.1369
87.41166667,81.27,78.68,6.933333333,29.66,19.3624
87.8075,81.29,77.29,6.94,29.65,25.353
88.20333333,81.31,75.9,6.946666667,29.65,27.2786
88.59916667,81.34,74.5,6.953333333,29.64,29.846
88.995,81.36,73.11,6.96,29.64,32.4668
89.39083333,81.38,71.72,6.966666667,29.63,31.1564
89.78666667,81.41,70.32,6.973333333,29.62,31.8116
90.1825,81.43,68.93,6.98,29.62,31.484
90.57833333,81.45,67.54,6.986666667,29.61,31.6478
90.97416667,81.48,66.14,6.993333333,29.61,31.5659
91.37,81.5,64.75,7,29.6,31.60685
91.27416667,80.94,63.44,7.513333333,29.58,31.586375
91.17833333,80.38,62.13,8.026666667,29.56,31.5966125
91.0825,79.82,60.82,8.54,29.54,31.59149375
90.98666667,79.27,59.5,9.053333333,29.53,31.59405313
90.89083333,78.71,58.19,9.566666667,29.51,31.59277344
90.795,78.15,56.88,10.08,29.49,31.59341328
90.69916667,77.59,55.57,10.59333333,29.47,31.59309336
90.60333333,77.03,54.26,11.10666667,29.45,31.59325332
90.5075,76.47,52.94,11.62,29.44,31.59317334
90.41166667,75.92,51.63,12.13333333,29.42,31.59321333
90.31583333,75.36,50.32,12.64666667,29.4,31.59319333
90.22,74.8,49.01,13.16,29.38,31.59320333
89.74916667,75.14,51.91,12.9975,29.33,31.59319833
89.27833333,75.47,54.8,12.835,29.28,31.59320083
88.8075,75.81,57.7,12.6725,29.24,31.59319958
88.33666667,76.15,60.6,12.51,29.19,31.59320021
87.86583333,76.48,63.49,12.3475,29.14,31.5931999
87.395,76.82,66.39,12.185,29.1,31.59320005
86.92416667,77.16,69.29,12.0225,29.05,31.59319997
86.45333333,77.49,72.18,11.86,29,31.59320001
85.9825,77.83,75.08,11.6975,28.95,31.59319999
85.51166667,78.17,77.98,11.535,28.9,31.5932
85.04083333,78.5,80.87,11.3725,28.86,31.5932
84.57,78.84,83.77,11.21,28.81,31.5932
84.37833333,78.89,84.26,11.02666667,28.82,31.5932
84.18666667,78.94,84.76,10.84333333,28.83,31.5932
83.995,78.99,85.26,10.66,28.84,31.5932
83.80333333,79.04,85.75,10.47666667,28.85,29.846
83.61166667,79.09,86.24,10.29333333,28.86,23.3205
83.42,79.14,86.74,10.11,28.87,20.3252
83.22833333,79.18,87.24,9.926666667,28.88,16.902
83.03666667,79.23,87.73,9.743333333,28.89,14.9765
82.845,79.28,88.22,9.56,28.9,14.1207
82.65333333,79.33,88.72,9.376666667,28.91,13.5323
82.46166667,79.38,89.21,9.193333333,28.92,13.2114
82.27,79.43,89.71,9.01,28.93,12.9974
82.40833333,79.5,89.87,9.008333333,28.94,12.4626
82.54666667,79.57,90.04,9.006666667,28.95,12.73
82.685,79.64,90.2,9.005,28.96,12.3556
82.82333333,79.71,90.36,9.003333333,28.97,12.0881
82.96166667,79.78,90.52,9.001666667,28.98,12.9439
83.1,79.85,90.68,9,28.98,12.7835
83.23833333,79.92,90.85,8.998333333,28.99,12.8905
83.37666667,79.99,91.01,8.996666667,29,13.4788
83.515,80.06,91.17,8.995,29.01,13.2649
83.65333333,80.13,91.34,8.993333333,29.02,12.7835
83.79166667,80.2,91.5,8.991666667,29.03,12.5695
83.93,80.27,91.66,8.99,29.04,12.837
83.79833333,80.1,90.92,9.306666667,29.07,12.0881
83.66666667,79.94,90.18,9.623333333,29.1,12.2486
83.535,79.78,89.44,9.94,29.13,12.0347
83.40333333,79.61,88.7,10.25666667,29.16,12.1951
83.27166667,79.44,87.96,10.57333333,29.19,12.2486
83.14,79.28,87.22,10.89,29.22,12.0881
83.00833333,79.12,86.48,11.20666667,29.26,11.9277
82.87666667,78.95,85.74,11.52333333,29.29,11.9277
82.745,78.78,85,11.84,29.32,11.4998
82.61333333,78.62,84.26,12.15666667,29.35,11.5533
82.48166667,78.46,83.52,12.47333333,29.38,11.5533
82.35,78.29,82.78,12.79,29.41,11.4463
82.26333333,78.09,83.06,13.55,29.43,11.4998
82.17666667,77.9,83.34,14.31,29.46,11.2324
82.09,77.7,83.61,15.07,29.48,11.3393
82.00333333,77.51,83.89,15.83,29.51,11.2858
81.91666667,77.31,84.17,16.59,29.53,11.3393
81.83,77.12,84.44,17.35,29.56,11.2324
81.74333333,76.92,84.72,18.11,29.58,11.0184
81.65666667,76.72,85,18.87,29.6,10.9114
81.57,76.53,85.28,19.63,29.63,10.9649
81.48333333,76.33,85.56,20.39,29.65,10.8579
81.39666667,76.14,85.83,21.15,29.68,10.8579
81.31,75.94,86.11,21.91,29.7,10.8045
81.1825,75.87,86.62,22.97166667,29.61,10.5905
81.055,75.81,87.12,24.03333333,29.53,10.644
80.9275,75.74,87.63,25.095,29.44,10.4835
80.8,75.67,88.14,26.15666667,29.36,10.0021
80.6725,75.61,88.64,27.21833333,29.27,9.8417
80.545,75.54,89.15,28.28,29.18,9.4138
80.4175,75.47,89.66,29.34166667,29.1,9.0394
80.29,75.41,90.16,30.40333333,29.01,9.4673
80.1625,75.34,90.67,31.465,28.93,10.3231
80.035,75.27,91.18,32.52666667,28.84,10.1626
79.9075,75.21,91.68,33.58833333,28.76,10.537
79.78,75.14,92.19,34.65,28.67,10.0556
79.5975,75.25,92.59,34.31916667,28.69,10.8045
79.415,75.36,92.99,33.98833333,28.72,16.2602
